game_id,fecha,equipo_local,club_local_id,equipo_visitante,club_visitante_id,pts_local,pts_visitante,ganador,temporada,is_playoff
2020_1212_1791_2745,2020-12-12T00:00:00+00:00,FITOne Wuerzburg Baskets,2745,NINERS Chemnitz,1791,76,67,local,2020-21,0
2020_1212_2315_1634,2020-12-12T00:00:00+00:00,EWE Baskets Oldenburg,1634,Merlins Crailsheim,2315,80,94,visitante,2020-21,0
2020_1213_40_134,2020-12-13T00:00:00+00:00,Medi Bayreuth,134,Basketball Loewen Braunschweig,40,79,90,visitante,2020-21,0
2020_1213_219_133,2020-12-13T00:00:00+00:00,46ers Giessen,133,FC Bayern Muenchen Basketball,219,71,93,visitante,2020-21,0
2020_1213_19629_127,2020-12-13T00:00:00+00:00,Ratiopharm Ulm,127,Veolia Towers Hamburg,19629,73,69,local,2020-21,0
2020_1213_10_132,2020-12-13T00:00:00+00:00,Bamberg Baskets,132,ALBA Berlin,10,70,82,visitante,2020-21,0
2020_1215_133_450,2020-12-15T00:00:00+00:00,SYNTAINICS MBC Weissenfels,450,46ers Giessen,133,105,93,local,2020-21,0
2020_1216_132_2745,2020-12-16T00:00:00+00:00,FITOne Wuerzburg Baskets,2745,Bamberg Baskets,132,66,81,visitante,2020-21,0
2020_1218_133_1791,2020-12-18T00:00:00+00:00,NINERS Chemnitz,1791,46ers Giessen,133,95,83,local,2020-21,0
2020_1219_10_127,2020-12-19T00:00:00+00:00,Ratiopharm Ulm,127,ALBA Berlin,10,83,93,visitante,2020-21,0
2020_1219_3361_134,2020-12-19T00:00:00+00:00,Medi Bayreuth,134,Fraport Skyliners Frankfurt,3361,86,104,visitante,2020-21,0
2020_1219_132_1510,2020-12-19T00:00:00+00:00,Telekom Baskets Bonn,1510,Bamberg Baskets,132,66,80,visitante,2020-21,0
2020_1219_41_2457,2020-12-19T00:00:00+00:00,Rasta Vechta,2457,MHP Riesen Ludwigsburg,41,73,85,visitante,2020-21,0
2020_1220_40_2315,2020-12-20T00:00:00+00:00,Merlins Crailsheim,2315,Basketball Loewen Braunschweig,40,108,75,local,2020-21,0
2020_1220_214_19629,2020-12-20T00:00:00+00:00,Veolia Towers Hamburg,19629,BG Goettingen,214,98,94,local,2020-21,0
2020_1220_2745_450,2020-12-20T00:00:00+00:00,SYNTAINICS MBC Weissenfels,450,FITOne Wuerzburg Baskets,2745,80,68,local,2020-21,0
2020_1220_1634_219,2020-12-20T00:00:00+00:00,FC Bayern Muenchen Basketball,219,EWE Baskets Oldenburg,1634,95,100,visitante,2020-21,0
2020_1222_1791_41,2020-12-22T00:00:00+00:00,MHP Riesen Ludwigsburg,41,NINERS Chemnitz,1791,114,91,local,2020-21,0
2020_1222_134_2745,2020-12-22T00:00:00+00:00,FITOne Wuerzburg Baskets,2745,Medi Bayreuth,134,93,87,local,2020-21,0
2020_1222_2315_3361,2020-12-22T00:00:00+00:00,Fraport Skyliners Frankfurt,3361,Merlins Crailsheim,2315,64,76,visitante,2020-21,0
2020_1223_214_1634,2020-12-23T00:00:00+00:00,EWE Baskets Oldenburg,1634,BG Goettingen,214,89,73,local,2020-21,0
2020_1223_450_2457,2020-12-23T00:00:00+00:00,Rasta Vechta,2457,SYNTAINICS MBC Weissenfels,450,72,82,visitante,2020-21,0
