game_id,fecha,equipo_local,club_local_id,equipo_visitante,club_visitante_id,pts_local,pts_visitante,ganador,temporada,is_playoff,fs_match_id,home_fga,home_fgm,home_fg_pct,home_fg2a,home_fg2m,home_fg2_pct,home_fg3a,home_fg3m,home_fg3_pct,home_fta,home_ftm,home_ft_pct,home_oreb,home_dreb,home_reb,home_ast,home_blk,home_tov,home_stl,home_pf,away_fga,away_fgm,away_fg_pct,away_fg2a,away_fg2m,away_fg2_pct,away_fg3a,away_fg3m,away_fg3_pct,away_fta,away_ftm,away_ft_pct,away_oreb,away_dreb,away_reb,away_ast,away_blk,away_tov,away_stl,away_pf,fs_match_orientation
2020_1115_3361_219,2020-11-15T00:00:00+00:00,FC Bayern Muenchen Basketball,219,Fraport Skyliners Frankfurt,3361,75,52,local,2020-21,0,vi5xCwxU,62.0,25.0,40.32,35.0,19.0,54.29,27.0,6.0,22.22,24.0,19.0,79.2,15.0,30.0,45.0,0.0,3.0,12.0,8.0,24.0,53.0,18.0,33.96,34.0,14.0,41.18,19.0,4.0,21.05,18.0,12.0,66.7,7.0,24.0,31.0,0.0,0.0,15.0,6.0,27.0,reverse
2020_1115_1634_10,2020-11-15T00:00:00+00:00,ALBA Berlin,10,EWE Baskets Oldenburg,1634,89,86,local,2020-21,0,86qjV0xh,65.0,29.0,44.62,36.0,17.0,47.22,29.0,12.0,41.38,24.0,19.0,79.2,5.0,20.0,25.0,0.0,1.0,5.0,11.0,22.0,62.0,30.0,48.39,41.0,22.0,53.66,21.0,8.0,38.1,20.0,18.0,90.0,12.0,31.0,43.0,0.0,4.0,17.0,3.0,23.0,reverse
2020_1119_134_1510,2020-11-19T00:00:00+00:00,Telekom Baskets Bonn,1510,Medi Bayreuth,134,77,83,visitante,2020-21,0,4dXpR5mB,64.0,30.0,46.88,35.0,22.0,62.86,29.0,8.0,27.59,12.0,9.0,75.0,10.0,27.0,37.0,17.0,1.0,12.0,5.0,18.0,68.0,30.0,44.12,42.0,24.0,57.14,26.0,6.0,23.08,21.0,17.0,81.0,11.0,23.0,34.0,19.0,1.0,7.0,9.0,17.0,reverse
2020_1119_132_1791,2020-11-19T00:00:00+00:00,NINERS Chemnitz,1791,Bamberg Baskets,132,86,93,visitante,2020-21,0,l2CPEuhB,61.0,31.0,50.82,35.0,21.0,60.0,26.0,10.0,38.46,17.0,14.0,82.4,4.0,21.0,25.0,19.0,3.0,17.0,12.0,23.0,69.0,36.0,52.17,43.0,29.0,67.44,26.0,7.0,26.92,24.0,14.0,58.3,14.0,24.0,38.0,25.0,4.0,15.0,10.0,17.0,reverse
2020_1121_40_2457,2020-11-21T00:00:00+00:00,Rasta Vechta,2457,Basketball Loewen Braunschweig,40,78,96,visitante,2020-21,0,ULXbTv74,60.0,25.0,41.67,32.0,17.0,53.13,28.0,8.0,28.57,27.0,20.0,74.1,11.0,28.0,39.0,21.0,2.0,13.0,2.0,20.0,72.0,35.0,48.61,35.0,20.0,57.14,37.0,15.0,40.54,14.0,11.0,78.6,11.0,28.0,39.0,27.0,3.0,9.0,6.0,23.0,reverse
2020_1121_1634_3361,2020-11-21T00:00:00+00:00,Fraport Skyliners Frankfurt,3361,EWE Baskets Oldenburg,1634,69,86,visitante,2020-21,0,xnX2SbMA,54.0,21.0,38.89,33.0,16.0,48.48,21.0,5.0,23.81,27.0,22.0,81.5,8.0,27.0,35.0,13.0,0.0,17.0,4.0,16.0,63.0,30.0,47.62,32.0,16.0,50.0,31.0,14.0,45.16,14.0,12.0,85.7,7.0,24.0,31.0,24.0,3.0,10.0,7.0,28.0,reverse
2020_1121_1791_214,2020-11-21T00:00:00+00:00,BG Goettingen,214,NINERS Chemnitz,1791,103,99,local,2020-21,0,GxW6RIyH,75.0,38.0,50.67,42.0,27.0,64.29,33.0,11.0,33.33,22.0,16.0,72.7,7.0,34.0,41.0,25.0,2.0,8.0,8.0,22.0,75.0,35.0,46.67,46.0,20.0,43.48,29.0,15.0,51.72,19.0,14.0,73.7,8.0,32.0,40.0,24.0,1.0,15.0,2.0,21.0,reverse
2020_1121_133_127,2020-11-21T00:00:00+00:00,Ratiopharm Ulm,127,46ers Giessen,133,106,81,local,2020-21,0,b1LBQxiN,65.0,38.0,58.46,36.0,25.0,69.44,29.0,13.0,44.83,19.0,17.0,89.5,10.0,25.0,35.0,26.0,6.0,13.0,8.0,16.0,64.0,31.0,48.44,36.0,21.0,58.33,28.0,10.0,35.71,10.0,9.0,90.0,8.0,17.0,25.0,18.0,1.0,17.0,10.0,20.0,reverse
2020_1122_2315_132,2020-11-22T00:00:00+00:00,Bamberg Baskets,132,Merlins Crailsheim,2315,95,101,visitante,2020-21,0,jVYfUKib,58.0,32.0,55.17,34.0,21.0,61.76,24.0,11.0,45.83,27.0,20.0,74.1,11.0,20.0,31.0,17.0,1.0,15.0,9.0,22.0,42.0,31.0,73.81,10.0,14.0,100.0,32.0,17.0,53.13,26.0,22.0,84.6,7.0,17.0,24.0,22.0,2.0,16.0,6.0,26.0,reverse
2020_1122_10_1510,2020-11-22T00:00:00+00:00,Telekom Baskets Bonn,1510,ALBA Berlin,10,74,97,visitante,2020-21,0,C4PFPd6T,63.0,27.0,42.86,36.0,19.0,52.78,27.0,8.0,29.63,14.0,12.0,85.7,7.0,21.0,28.0,10.0,0.0,13.0,8.0,20.0,71.0,41.0,57.75,45.0,30.0,66.67,26.0,11.0,42.31,8.0,4.0,50.0,8.0,30.0,38.0,27.0,4.0,12.0,7.0,18.0,reverse
