match_id,temporada,fecha,jornada,equipo_local,equipo_visitante,club_local_id,club_visitante_id,home_pts_avg_5,home_pts_conceded_avg_5,home_win_rate_5,away_pts_avg_5,away_pts_conceded_avg_5,away_win_rate_5,pts_diff_5,win_rate_diff_5,home_pts_avg_10,home_pts_conceded_avg_10,home_win_rate_10,away_pts_avg_10,away_pts_conceded_avg_10,away_win_rate_10,pts_diff_10,win_rate_diff_10,home_t3_pct_avg_5,home_t2_pct_avg_5,home_reb_avg_5,home_ast_avg_5,home_val_avg_5,away_t3_pct_avg_5,away_t2_pct_avg_5,away_reb_avg_5,away_ast_avg_5,away_val_avg_5,val_diff_5,home_streak_5,away_streak_5,h2h_home_wins,h2h_total,h2h_home_rate,is_home,target
101288,2020-21,2020-09-26 18:45:00+00:00,3,Movistar Estudiantes,TD Systems Baskonia,6,3,82.0,90.5,0.0,82.5,73.0,1.0,-0.5,-1.0,82.0,90.5,0.0,82.5,73.0,1.0,-0.5,-1.0,0.373,0.48129999999999995,29.0,12.5,71.5,0.41664999999999996,0.4579,30.5,21.0,87.5,-16.0,-2.0,2.0,0.0,0.0,0.5,1,0
101270,2020-21,2020-09-27 10:30:00+00:00,3,Barça,RETAbet Bilbao Basket,2,4,84.0,78.0,1.0,86.0,94.0,0.0,-2.0,1.0,84.0,78.0,1.0,86.0,94.0,0.0,-2.0,1.0,0.4739,0.45914999999999995,37.0,21.0,97.0,0.35215,0.52335,30.5,12.5,83.5,13.5,2.0,-2.0,0.0,0.0,0.5,1,1
101272,2020-21,2020-09-27 10:30:00+00:00,3,MoraBanc Andorra,Unicaja,22,14,80.0,78.5,0.5,71.5,80.0,0.0,8.5,0.5,80.0,78.5,0.5,71.5,80.0,0.0,8.5,0.5,0.38095,0.54065,33.5,21.0,85.5,0.32575,0.47095,25.0,14.5,65.0,20.5,0.0,-2.0,0.0,0.0,0.5,1,0
101290,2020-21,2020-09-27 15:00:00+00:00,3,Monbus Obradoiro,Coosur Real Betis,57,15,90.5,79.0,1.0,57.0,78.0,0.0,33.5,1.0,90.5,79.0,1.0,57.0,78.0,0.0,33.5,1.0,0.40195000000000003,0.60795,33.5,17.0,98.5,0.2273,0.4048,33.0,15.0,52.0,46.5,2.0,-1.0,0.0,0.0,0.5,1,1
101287,2020-21,2020-09-27 15:00:00+00:00,3,Acunsa GBC,Hereda San Pablo Burgos,7,549,70.0,86.0,0.0,89.0,74.5,0.5,-19.0,-0.5,70.0,86.0,0.0,89.0,74.5,0.5,-19.0,-0.5,0.2727,0.5,33.0,13.0,63.0,0.34765,0.64675,32.5,23.5,103.0,-40.0,-1.0,0.0,0.0,0.0,0.5,1,0
101273,2020-21,2020-09-27 16:00:00+00:00,3,Club Joventut Badalona,Real Madrid,8,9,79.5,65.0,1.0,94.0,76.5,1.0,-14.5,0.0,79.5,65.0,1.0,94.0,76.5,1.0,-14.5,0.0,0.37215,0.5039,40.5,19.0,91.5,0.4831,0.5381,37.5,22.0,112.5,-21.0,2.0,2.0,0.0,0.0,0.5,1,0
101271,2020-21,2020-09-27 18:00:00+00:00,3,Casademont Zaragoza,Herbalife Gran Canaria,16,5,84.5,96.5,0.0,83.5,97.0,0.5,1.0,-0.5,84.5,96.5,0.0,83.5,97.0,0.5,1.0,-0.5,0.32130000000000003,0.5035000000000001,32.5,17.0,77.5,0.3811,0.45520000000000005,27.5,20.5,83.5,-6.0,-2.0,0.0,0.0,0.0,0.5,1,1
101291,2020-21,2020-09-27 18:00:00+00:00,3,BAXI Manresa,Valencia Basket Club,10,13,82.0,82.0,0.5,82.0,76.0,0.5,0.0,0.0,82.0,82.0,0.5,82.0,76.0,0.5,0.0,0.0,0.30125,0.56705,31.5,20.5,88.0,0.4643,0.58645,30.0,19.0,98.5,-10.5,0.0,0.0,0.0,0.0,0.5,1,0
101292,2020-21,2020-10-03 16:00:00+00:00,4,RETAbet Bilbao Basket,Monbus Obradoiro,4,57,78.66666666666667,90.0,0.0,89.33333333333333,79.33333333333333,1.0,-10.666666666666657,-1.0,78.66666666666667,90.0,0.0,89.33333333333333,79.33333333333333,1.0,-10.666666666666657,-1.0,0.35823333333333335,0.46320000000000006,30.666666666666668,14.666666666666666,77.33333333333333,0.36473333333333335,0.6111666666666666,33.0,16.666666666666668,96.66666666666667,-19.333333333333343,-3.0,3.0,0.0,0.0,0.5,1,1
101283,2020-21,2020-10-03 18:45:00+00:00,4,MoraBanc Andorra,Club Joventut Badalona,22,8,79.33333333333333,79.33333333333333,0.3333333333333333,74.33333333333333,72.33333333333333,0.6666666666666666,5.0,-0.3333333333333333,79.33333333333333,79.33333333333333,0.3333333333333333,74.33333333333333,72.33333333333333,0.6666666666666666,5.0,-0.3333333333333333,0.36506666666666665,0.5271,35.333333333333336,20.666666666666668,85.66666666666667,0.32336666666666664,0.4732,36.666666666666664,16.666666666666668,77.66666666666667,8.0,-1.0,1.0,0.0,0.0,0.5,1,0
